epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.7749,0.90351,3.97286,1.4401,0.57779,0.17241,0.1354,0.09853,1.00538,2.80025,1.71892,0.000100627,0.000100627,0.000100627
2,183.165,0.93076,2.88802,1.43816,0.54765,0.40595,0.33816,0.24429,1.04117,1.87539,1.70867,0.000191647,0.000191647,0.000191647
3,266.941,0.92637,2.26223,1.41144,0.48061,0.58554,0.46581,0.33611,1.02894,1.62699,1.65105,0.000272667,0.000272667,0.000272667
4,351.147,0.88499,1.93369,1.36644,0.46832,0.66771,0.52702,0.39343,0.94855,1.42046,1.55793,0.000258004,0.000258004,0.000258004
5,438.637,0.85544,1.71853,1.33917,0.44292,0.6879,0.57934,0.44069,0.95413,1.35213,1.56323,0.000243006,0.000243006,0.000243006
6,523.198,0.8309,1.57431,1.31344,0.54345,0.65556,0.6323,0.47604,0.9249,1.24693,1.52043,0.000228007,0.000228007,0.000228007
7,610.843,0.81698,1.45717,1.2952,0.55876,0.70288,0.66055,0.508,0.91067,1.2347,1.50537,0.000213009,0.000213009,0.000213009
8,695.663,0.78419,1.36902,1.27584,0.60891,0.68737,0.67556,0.52901,0.89237,1.08981,1.46556,0.00019801,0.00019801,0.00019801
9,780.12,0.77107,1.30587,1.25939,0.60329,0.76559,0.71547,0.56577,0.88734,1.05122,1.46233,0.000183012,0.000183012,0.000183012
10,866.745,0.76261,1.25596,1.25862,0.58799,0.76912,0.70913,0.55265,0.87552,1.03167,1.45475,0.000168013,0.000168013,0.000168013
11,949.749,0.67342,1.28383,1.29679,0.7421,0.62592,0.74023,0.58906,0.85332,0.99598,1.43181,0.000153015,0.000153015,0.000153015
12,1031.81,0.64628,1.14286,1.27574,0.63991,0.76759,0.75093,0.59117,0.8477,0.9469,1.42249,0.000138016,0.000138016,0.000138016
13,1113.66,0.63177,1.07859,1.26097,0.65084,0.69935,0.7436,0.59472,0.83668,0.94808,1.40035,0.000123018,0.000123018,0.000123018
14,1196.08,0.61727,1.00918,1.24961,0.64657,0.76961,0.75785,0.60634,0.8158,0.89601,1.39054,0.000108019,0.000108019,0.000108019
15,1277.93,0.60148,0.95866,1.23204,0.70597,0.75917,0.76427,0.61134,0.81723,0.87296,1.37593,9.3021e-05,9.3021e-05,9.3021e-05
16,1360.05,0.58598,0.91382,1.21948,0.683,0.76055,0.77022,0.61803,0.8335,0.89006,1.41026,7.80225e-05,7.80225e-05,7.80225e-05
17,1445.1,0.58121,0.88938,1.20772,0.6872,0.75947,0.77058,0.61771,0.80877,0.8604,1.38597,6.3024e-05,6.3024e-05,6.3024e-05
18,1525.8,0.55979,0.85117,1.193,0.7057,0.75568,0.78668,0.62762,0.80949,0.83433,1.37667,4.80255e-05,4.80255e-05,4.80255e-05
19,1607.06,0.55656,0.83477,1.18576,0.785,0.69831,0.78888,0.62952,0.80878,0.84348,1.38353,3.3027e-05,3.3027e-05,3.3027e-05
20,1693.24,0.53783,0.80548,1.17249,0.73016,0.73846,0.78102,0.62853,0.7987,0.83671,1.37211,1.80285e-05,1.80285e-05,1.80285e-05
